Year,MeanTemp
2000,0.8650273224043713
2001,1.8271232876712322
2002,2.970410958904111
2003,2.123287671232877
2004,1.783060109289617
2005,1.551232876712328
2006,0.984109589041093
2007,2.9013698630137013
2008,1.9210382513661177
2009,0.1676712328767109
2010,-0.9334246575342446
2011,1.3254794520547937
2012,0.6680327868852406
2013,2.3172602739725976
2014,1.4693150684931555
2015,3.4328767123287682
2016,1.8333333333333348
2017,2.6284931506849323
2018,0.34465753424657625
2019,2.3002739726027412
2020,3.709562841530056
2021,1.8994520547945193
2022,2.014520547945204
